"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"126743759,633673","49165,720778","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"517,311735","9,997890","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"125289796,896947","1981428,827674","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"3,215185","0,652188","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"778669,114894","157307,272359","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"398,000000",NaN,"counts",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"2118,000000",NaN,"ms",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,301365","0,005388","ops/s",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"422,509953","5,491142","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"1696356903,866667","85437756,297197","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"414,254517","10,851338","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1663076487,533333","85539934,503448","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,213138","0,701508","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"838773,600000","2758025,815691","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"10,519833","1,861723","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"42315469,866667","8911798,996380","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"273,000000",NaN,"counts",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"4329,000000",NaN,"ms",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,495888","0,005104","ops/s",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"575,354837","5,278472","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"1424379008,480000","19773,286419","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"565,451751","8,891889","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1399890903,040000","22839434,005396","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"16,861247","1,766423","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"41755063,840000","4676423,852609","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"295,000000",NaN,"counts",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"5117,000000",NaN,"ms",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,288487","0,002345","ops/s",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"433,246677","2,982696","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"1827316230,133333","7487,767018","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"423,301538","12,032110","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1785375402,666667","49857194,399713","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"10,795258","0,879971","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"45527901,866667","3588514,405614","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"224,000000",NaN,"counts",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"3681,000000",NaN,"ms",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,411955","0,005759","ops/s",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"519,189468","8,863780","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"1516888836,160000","21074,561473","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"510,541496","17,500235","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1491473530,880000","29441777,695873","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,249550","0,802195","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"736197,600000","2363332,293926","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"14,407419","2,672017","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"42103545,280000","8057650,145289","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"325,000000",NaN,"counts",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"5240,000000",NaN,"ms",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,076333","0,000418","ops/s",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"552,357546","3,381808","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"10298670790,400000","44997,069528","B/op",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"533,376600","8,910568","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"9944799641,600000","159386030,667273","B/op",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"5,403796","0,496238","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"100751710,400000","9194302,766612","B/op",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"281,000000",NaN,"counts",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"8149,000000",NaN,"ms",test_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"0,121915","0,000867","ops/s",test_id,foreach_apache
