"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"380,000000",NaN,"counts",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"32946,000000",NaN,"ms",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,10,"0,009683","0,000068","ops/s",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"378,055080","2,557918","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"42124869056,000000","20417,402802","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"372,173442","2,530515","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"41469503078,400000","9249831,941220","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,338781","0,002292","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"1,162200","0,017383","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"129499136,000000","1868290,769836","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"340,000000",NaN,"counts",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"30621,000000",NaN,"ms",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,209675","0,000449","ops/s",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"276,826251","0,547287","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"1456737074,666667","723,909933","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"243,631862","0,481660","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1282058922,666667","0,000000","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,394839","0,002758","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"7340032,000000","0,000000","B/op",devel_100_000_id,foreach_java
