"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"661296393,428572","52076534,918160","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"668,867262","231,897383","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"1163013090,742857","138195852,969156","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"308,000000",NaN,"counts",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"27876,000000",NaN,"ms",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf","thrpt",1,5,"50,887423","0,488783","ops/s",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"255,613544","2,435874","MB/sec",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"5544136,922055","952,580570","B/op",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"855,272917","236,146923","MB/sec",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"18550657,091054","5136194,158894","B/op",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,5,"107,000000",NaN,"counts",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,5,"930,000000",NaN,"ms",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf","thrpt",1,5,"98,385444","2,958975","ops/s",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"397,558598","11,939125","MB/sec",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"4459456,323409","664,655577","B/op",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"1373,967531","222,294081","MB/sec",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"15409472,023724","2125549,191188","B/op",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,5,"164,000000",NaN,"counts",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,5,"1208,000000",NaN,"ms",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf","thrpt",1,5,"46,068637","0,428355","ops/s",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"256,578966","2,333795","MB/sec",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"6145728,111732","461,578191","B/op",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"848,581765","265,260054","MB/sec",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"20325798,890729","6354352,829250","B/op",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,5,"107,000000",NaN,"counts",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,5,"890,000000",NaN,"ms",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf","thrpt",1,5,"81,380701","3,542769","ops/s",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"379,919417","16,302255","MB/sec",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"5151193,886578","1082,669388","B/op",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"1335,557836","67,324473","MB/sec",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"18111773,862514","1595575,503229","B/op",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,5,"160,000000",NaN,"counts",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,5,"1258,000000",NaN,"ms",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf","thrpt",1,5,"6,172512","0,088283","ops/s",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"320,651645","4,767541","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"57902406,837071","78693,046838","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"1047,175549","301,377796","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"189084614,848950","53650825,122279","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,5,"132,000000",NaN,"counts",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,5,"1926,000000",NaN,"ms",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf","thrpt",1,5,"10,940921","0,303687","ops/s",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"452,277739","12,535503","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"46086490,668306","47344,258778","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"1463,395434","158,442023","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"149133408,773921","18190445,565387","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,5,"196,000000",NaN,"counts",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,5,"2669,000000",NaN,"ms",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf","thrpt",1,5,"5,437008","0,055422","ops/s",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"311,574908","2,985816","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"63850183,534545","3113,865496","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"1024,961067","308,077430","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"210050744,320000","63608394,976513","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,5,"132,000000",NaN,"counts",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,5,"2011,000000",NaN,"ms",devel_10_000_id,stream_java
