"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"1849268633,600000","198195475,294137","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"136,000000",NaN,"counts",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"9798,000000",NaN,"ms",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"0,448227","0,010432","ops/s",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"649,983646","22,646934","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"1777522841,920000","42147,154593","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"505,950747","27,258383","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"1383617003,520000","49324677,455049","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"152,000000",NaN,"counts",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"10470,000000",NaN,"ms",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"0,236166","0,004041","ops/s",devel_100_000_id,stream_java
