"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"168,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"2178,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,164136","0,001439","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"41,617944","0,329017","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"284686918,000000","47741,208058","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"803,377772","73,584015","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"5496111104,000000","516739506,344398","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"285,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"9267,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,312429","0,001430","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"73,423623","0,326281","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"262986907,000000","14830,764107","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"1363,026424","56,143604","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"4882012569,600000","197424523,093945","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"658,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"24283,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,424453","0,004705","ops/s",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"97,583728","0,972708","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"258708315,840000","54661,718882","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"1690,268929","252,841238","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"4479013355,520000","630963778,271925","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"966,000000",NaN,"counts",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"33570,000000",NaN,"ms",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,503466","0,003324","ops/s",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"114,490005","0,773465","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"256099017,280000","1385819,967417","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"2036,188780","32,577301","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"4554699571,200000","72704847,302733","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"1140,000000",NaN,"counts",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"32239,000000",NaN,"ms",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,569460","0,003894","ops/s",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"128,453168","0,823874","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"255933626,133333","37879,491412","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"1747,876436","122,358441","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"3481971370,666667","222259849,474778","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"1464,000000",NaN,"counts",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"50972,000000",NaN,"ms",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,12,foreach_apache
